date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20250825,71700.0,71800.0,71000.0,71500.0,100.0,0.14,10345178.0,737888.0,0.0,1501511.0,506058.0,1769382.0,118832.0,1254868.0,50.53,50.53,50.53,1769382.0,506058.0,1501511.0,0.0
20250822,71700.0,71800.0,70800.0,71400.0,800.0,1.13,9277432.0,662246.0,0.19,1365611.0,34024.0,105292.0,974755.0,162499.0,50.56,50.56,50.56,105292.0,34024.0,1365611.0,0.19
20250821,71500.0,71900.0,70600.0,70600.0,100.0,0.14,18843833.0,1346119.0,0.19,1480837.0,1325464.0,2284357.0,2117664.0,2548504.0,50.56,50.56,50.56,2284357.0,1325464.0,1480837.0,0.19
20250820,70100.0,70700.0,69400.0,70500.0,500.0,0.71,17445516.0,1224602.0,0.19,2824161.0,1906578.0,902536.0,954377.0,1810278.0,50.52,50.52,50.52,902536.0,1906578.0,2824161.0,0.19
20250819,70400.0,70700.0,69700.0,70000.0,0.0,0.0,10533082.0,738974.0,0.19,522582.0,714443.0,483175.0,1233251.0,952096.0,50.51,50.51,50.51,483175.0,714443.0,522582.0,0.19
20250818,71100.0,71200.0,70000.0,70000.0,1600.0,2.23,13595591.0,956707.0,0.19,1924747.0,298892.0,3028487.0,1702620.0,1523888.0,50.52,50.52,50.52,3028487.0,298892.0,1924747.0,0.19
20250814,71900.0,71900.0,71200.0,71600.0,300.0,0.42,11946122.0,855003.0,0.19,480225.0,1327501.0,1836775.0,173507.0,1395533.0,50.57,50.57,50.57,1836775.0,1327501.0,480225.0,0.19
20250813,71900.0,72100.0,71400.0,71900.0,800.0,1.13,12305742.0,882863.0,0.19,1010021.0,224433.0,854043.0,1097331.0,915369.0,50.6,50.6,50.6,854043.0,224433.0,1010021.0,0.19
20250812,71100.0,72400.0,71100.0,71100.0,100.0,0.14,15797656.0,1131564.0,0.19,1106457.0,353992.0,846743.0,1890004.0,608786.0,50.58,50.58,50.58,846743.0,353992.0,1106457.0,0.19
20250811,72000.0,72100.0,70800.0,71000.0,800.0,1.11,11354253.0,808470.0,0.19,1686273.0,571822.0,2426755.0,1640219.0,2019047.0,50.57,50.57,50.57,2426755.0,571822.0,1686273.0,0.19
20250808,71000.0,72400.0,70700.0,71800.0,1300.0,1.84,22241128.0,1593486.0,0.19,4186201.0,937140.0,3444113.0,3621465.0,89013.0,50.61,50.61,50.61,3444113.0,937140.0,4186201.0,0.19
20250807,70800.0,71000.0,69700.0,70500.0,1700.0,2.47,15008213.0,1055403.0,0.19,1176932.0,614600.0,128501.0,965952.0,728002.0,50.55,50.55,50.55,128501.0,614600.0,1176932.0,0.19
20250806,69200.0,69400.0,68300.0,68800.0,1100.0,1.57,12542415.0,863116.0,0.19,767674.0,945597.0,848887.0,562561.0,445696.0,50.55,50.55,50.55,848887.0,945597.0,767674.0,0.19
20250805,71000.0,71500.0,69700.0,69900.0,200.0,0.29,14392903.0,1012314.0,0.19,1433127.0,104329.0,2451964.0,841572.0,2748537.0,50.56,50.56,50.56,2451964.0,104329.0,1433127.0,0.19
20250804,69500.0,70200.0,68700.0,69700.0,800.0,1.16,14780072.0,1030550.0,0.18,535317.0,934749.0,154448.0,722855.0,206920.0,50.61,50.61,50.61,154448.0,934749.0,535317.0,0.18
20250801,70200.0,72000.0,68800.0,68900.0,2500.0,3.5,24038534.0,1680885.0,0.17,2020106.0,2430127.0,774031.0,237225.0,768353.0,50.61,50.61,50.61,774031.0,2430127.0,2020106.0,0.17
20250731,73000.0,74000.0,71000.0,71400.0,1200.0,1.65,26568072.0,1907638.0,0.18,2241112.0,2147850.0,1425845.0,1046483.0,3969675.0,50.62,50.62,50.62,1425845.0,2147850.0,2241112.0,0.18
20250730,71000.0,73700.0,70600.0,72600.0,2000.0,2.83,34761444.0,2521446.0,0.19,9975407.0,1287183.0,9274113.0,6698053.0,1768695.0,50.65,50.65,50.65,9274113.0,1287183.0,9975407.0,0.19
20250729,70800.0,70800.0,68800.0,70600.0,200.0,0.28,28190940.0,1977721.0,0.19,3697952.0,626808.0,2875250.0,1211956.0,1090441.0,50.49,50.49,50.49,2875250.0,626808.0,3697952.0,0.19
20250728,68200.0,70400.0,67200.0,70400.0,4500.0,6.83,35332500.0,2431397.0,0.19,14328233.0,3709966.0,11311084.0,7377167.0,8326272.0,50.44,50.44,50.44,11311084.0,3709966.0,14328233.0,0.19
